"year","total_stage","total_distance_km","total_starters","total_finishers","winner_country","winner_name","winning_time_min","winning_time_hr","winning_margin","stages_won","stages_led","avg_speed_kmh"
1903,6,2428,60,21,"France","Maurice Garin",5673.23,94.55383333,"+ 2h 59' 21""","3","6",25.7
1904,6,2428,88,15,"France","Henri Cornet",5765.92,96.09866667,"+ 2h 16' 14""","1","3",25.3
1905,11,2994,60,24,"France","Louis Trousselier",NA,NA,NA,"5","10",NA
1906,13,4637,82,14,"France","Rene Pottier",NA,NA,NA,"5","12",NA
1907,14,4488,93,33,"France","Lucien Petit Breton",NA,NA,NA,"2","5",NA
1908,14,4497,112,36,"France","Lucien Petit Breton",NA,NA,NA,"5","13",NA
1909,14,4498,150,55,"Luxembourg","Francois Faber",NA,NA,NA,"6","13",NA
1910,15,4734,110,41,"France","Octave Lapize",NA,NA,NA,"4","3",NA
1911,15,5343,84,28,"France","Gustave Garrigou",NA,NA,NA,"2","13",NA
1912,15,5289,131,41,"Belgium","Odile Defraye",NA,NA,NA,"3","13",NA
1913,15,5287,140,25,"Belgium","Philippe Thys",11874,197.9,"+ 8' 37""","1","8",26.7
1914,15,5380,145,54,"Belgium","Philippe Thys",12028.8,200.48,"+ 1' 50""","1","15",26.8
1919,15,5560,69,10,"Belgium","Firmin Lambot",13867.25,231.1208333,"+ 1h 42' 54""","1","2",24.1
1920,15,5503,113,22,"Belgium","Philippe Thys",13716.22,228.6036667,"+ 57' 21""","4","14",24.1
1921,15,5485,123,38,"Belgium","Leon Scieur",13310.43,221.8405,"+ 18' 36""","2","14",24.7
1922,15,5375,121,38,"Belgium","Firmin Lambot",13328.1,222.135,"+ 41' 15""","0","3",24.2
1923,15,5386,139,48,"France","Henri Pelissier",13335.5,222.2583333,"+ 30 '41""","3","6",24.2
1924,15,5425,157,60,"Italy","Ottavio Bottecchia",13578.35,226.3058333,"+ 35' 36""","4","15",24
1925,18,5440,130,49,"Italy","Ottavio Bottecchia",13150.3,219.1716667,"+ 54' 20""","4","13",24.8
1926,17,5745,126,41,"Belgium","Lucien Buysse",14324.42,238.7403333,"+ 1h 22' 25""","2","8",24.1
1927,24,5398,142,39,"Luxembourg","Nicolas Frantz",11896.7,198.2783333,"+ 1h 48' 41""","3","14",27.2
1928,22,5476,162,41,"Luxembourg","Nicolas Frantz",11568.97,192.8161667,"+ 50' 07""","5","22",28.4
1929,22,5286,155,60,"Belgium","Maurice De Waele",11199.25,186.6541667,"+ 44' 23""","1","16",28.3
1930,21,4822,100,59,"France","AndreLeducq",10332.27,172.2045,"+ 14' 13""","2","13",28
1931,24,5091,81,35,"France","Antonin Magne",10630.05,177.1675,"+ 12' 56""","1","16",28.7
1932,21,4479,80,57,"France","AndreLeducq",9251.82,154.197,"+ 24' 03""","6","19",29
1933,23,4395,80,40,"France","Georges Speicher",8871.62,147.8603333,"+ 4' 01""","3","12",29.7
1934,23,4470,60,39,"France","Antonin Magne",8833.97,147.2328333,"+ 27' 31""","3","22",30.4
1935,21,4338,93,46,"Belgium","Romain Maes",8483,141.3833333,"+ 17' 52""","3","21",30.7
1936,21,4442,90,43,"Belgium","Sylvere Maes",8567.53,142.7921667,"+ 26' 55""","4","14",31.1
1937,20,4415,98,46,"France","Roger Lapebie",8338.52,138.9753333,"+ 7' 17""","3","4",31.8
1938,21,4694,96,55,"Italy","Gino Bartali",8909.2,148.4866667,"+ 18' 27""","2","8",31.6
1939,18,4224,79,49,"Belgium","Sylvere Maes",7923.28,132.0546667,"+ 30' 38""","2","8",32
1947,21,4642,99,53,"France","Jean Robic",8891.42,148.1903333,"+ 3' 58""","3","1",31.3
1948,21,4922,120,44,"Italy","Gino Bartali",8830.6,147.1766667,"+ 26' 16""","7","9",33.4
1949,21,4808,120,55,"Italy","Fausto Coppi",8980.82,149.6803333,"+ 10' 55""","3","5",32.1
1950,22,4773,116,51,"Switzerland","Ferdinand Kubler",8736.93,145.6155,"+ 9' 30""","3","11",32.8
1951,24,4690,123,66,"Switzerland","Hugo Koblet",8540.23,142.3371667,"+ 22' 00""","5","11",32.9
1952,23,4898,122,78,"Italy","Fausto Coppi",9117.33,151.9555,"+ 28' 17""","5","14",32.2
1953,22,4476,119,76,"France","Louison Bobet",7763.42,129.3903333,"+ 14' 18""","2","5",34.6
1954,23,4656,110,69,"France","Louison Bobet",8406.08,140.1013333,"+ 15' 49""","3","14",33.2
1955,22,4495,130,69,"France","Louison Bobet",7829.43,130.4905,"+ 4' 53""","2","6",34.4
1956,22,4498,120,88,"France","Roger Walkowiak",7441.27,124.0211667,"+ 1' 25""","0","8",36.3
1957,22,4669,120,56,"France","Jacques Anquetil",8144.7,135.745,"+ 14' 56""","4","15",34.4
1958,24,4319,120,78,"Luxembourg","Charly Gaul",7019.08,116.9846667,"+ 3' 10""","4","2",36.9
1959,22,4358,120,65,"Spain","Federico Bahamontes",7426.75,123.7791667,"+ 4' 01""","1","6",35.2
1960,21,4173,128,81,"Italy","Gastone Nencini",6728.7,112.145,"+ 5' 02""","0","14",37.2
1961,21,4397,132,72,"France","Jacques Anquetil",7321.55,122.0258333,"+ 12' 14""","2","21",36
1962,22,4274,149,94,"France","Jacques Anquetil",6871.9,114.5316667,"+ 4' 59""","2","3",37.3
1963,21,4138,130,76,"France","Jacques Anquetil",6810.08,113.5013333,"+ 3' 35""","4","5",36.5
1964,22,4504,132,81,"France","Jacques Anquetil",7629.73,127.1621667,"+ 55""","4","6",35.4
1965,22,4188,130,96,"Italy","Felice Gimondi",7002.1,116.7016667,"+ 2' 40""","3","18",35.9
1966,22,4329,130,82,"France","Lucien Aimar",7054.35,117.5725,"+ 1' 07""","0","6",36.8
1967,22,4779,130,88,"France","Roger Pingeon",8213.83,136.8971667,"+ 3' 40""","1","17",34.9
1968,22,4492,110,63,"Netherlands","Jan Janssen",8029.7,133.8283333,"+ 38""","2","1",33.6
1969,22,4117,130,86,"Belgium","Eddy Merckx",6976.03,116.2671667,"+ 17' 54""","6","18",35.4
1970,23,4254,150,100,"Belgium","Eddy Merckx",7171.82,119.5303333,"+ 12' 41""","8","20",35.6
1971,20,3608,130,94,"Belgium","Eddy Merckx",5765.23,96.08716667,"+ 9' 51""","4","17",37.3
1972,20,3846,132,88,"Belgium","Eddy Merckx",6497.3,108.2883333,"+ 10' 41""","6","15",35.5
1973,20,4090,132,87,"Spain","Luis Ocana",7345.57,122.4261667,"+ 15' 51""","6","14",33.4
1974,22,4098,130,105,"Belgium","Eddy Merckx",6976.97,116.2828333,"+ 8' 04""","8","18",35.2
1975,22,4000,140,86,"France","Bernard Thevenet",6875.52,114.592,"+ 2' 47""","2","8",34.9
1976,22,4017,130,87,"Belgium","Lucien Van Impe",6982.38,116.373,"+ 4' 14""","1","12",34.5
1977,22,4096,100,53,"France","Bernard Thevenet",6938.5,115.6416667,"+ 48""","1","8",35.4
1978,22,3908,110,78,"France","Bernard Hinault",6498,108.3,"+ 3' 56""","3","3",36.1
1979,24,3765,150,89,"France","Bernard Hinault",6186.83,103.1138333,"+ 13' 07""","7","17",36.5
1980,22,3842,130,85,"Netherlands","Joop Zoetemelk",6559.23,109.3205,"+ 6' 55""","2","10",35.1
1981,22,3753,150,121,"France","Bernard Hinault",5779.63,96.32716667,"+ 14' 34""","5","18",39
1982,21,3507,169,125,"France","Bernard Hinault",5528.77,92.14616667,"+ 6' 21""","4","12",38.1
1983,22,3809,140,88,"France","Laurent Fignon",6307.87,105.1311667,"+ 4' 04""","1","6",36.2
1984,23,4021,170,124,"France","Laurent Fignon",6723.67,112.0611667,"+ 10' 32""","5","7",35.9
1985,22,4109,180,144,"France","Bernard Hinault",6804.38,113.4063333,"+ 1' 42""","2","16",36.2
1986,23,4094,210,132,"United States","Greg LeMond",6635.32,110.5886667,"+ 3' 10""","1","7",37
1987,25,4231,207,135,"Ireland","Stephen Roche",6927.7,115.4616667,"+ 40""","1","3",36.6
1988,22,3286,198,151,"Spain","Pedro Delgado",5047.88,84.13133333,"+ 7' 13""","1","11",38.9
1989,21,3285,198,138,"United States","Greg LeMond",5258.58,87.643,"+ 8""","3","8",37.5
1990,21,3504,198,156,"United States","Greg LeMond",5443.33,90.72216667,"+ 2' 16""","0","2",38.6
1991,22,3914,198,158,"Spain","Miguel Indurain",6061.33,101.0221667,"+ 3' 36""","2","10",38.7
1992,21,3983,198,130,"Spain","Miguel Indurain",6049.5,100.825,"+ 4' 35""","3","10",39.5
1993,20,3714,180,136,"Spain","Miguel Indurain",5707.15,95.11916667,"+ 4' 59""","2","14",38.7
1994,21,3978,189,117,"Spain","Miguel Indurain",6218.63,103.6438333,"+ 5' 39""","1","13",38.4
1995,20,3635,189,115,"Spain","Miguel Indurain",5524.98,92.083,"+ 4' 35""","2","13",39.2
1996,21,3765,197,129,"Denmark","Bjarne Riis",5757.27,95.9545,"+ 1' 41""","2","13",39.2
1997,21,3950,198,139,"Germany","Jan Ullrich",6030.58,100.5096667,"+ 9' 09""","2","12",39.3
1998,21,3875,189,96,"Italy","Marco Pantani",5569.77,92.8295,"+ 3' 21""","2","7",41.7
1999,20,3687,180,141,"United States","Lance Armstrong",5492.27,91.53783333,"+ 7' 37""","DSQ","DSQ",NA
2000,21,3662,197,127,"United States","Lance Armstrong",5553.13,92.55216667,"+ 6' 02""","DSQ","DSQ",NA
2001,20,3458,189,144,"United States","Lance Armstrong",5177.47,86.29116667,"+ 6' 44""","DSQ","DSQ",NA
2002,20,3278,189,153,"United States","Lance Armstrong",4925.2,82.08666667,"+ 7' 17""","DSQ","DSQ",NA
2003,20,3427,198,147,"United States","Lance Armstrong",5021.2,83.68666667,"+ 1' 01""","DSQ","DSQ",NA
2004,20,3391,188,147,"United States","Lance Armstrong",5016.03,83.6005,"+ 6' 19""","DSQ","DSQ",NA
2005,21,3359,189,155,"United States","Lance Armstrong",5175.03,86.2505,"+ 4' 40""","DSQ","DSQ",NA
2006,21,3657,176,139,"Spain","Oscar Pereiro",5380.45,89.67416667,"+ 32""","0","8",40.8
2007,20,3570,189,141,"Spain","Alberto Contador",5460.43,91.00716667,"+ 23""","1","4",39.2
2008,21,3559,180,144,"Spain","Carlos Sastre",5272.87,87.88116667,"+ 58""","1","5",40.5
2009,21,3459,180,155,"Spain","Alberto Contador",5108.58,85.143,"+ 4' 11""","2","7",40.3
2010,20,3642,197,170,"Luxembourg","Andy Schleck",5519.45,91.99083333,"+ 1' 22""","2","12",39.6
2011,21,3430,198,168,"Australia","Cadel Evans",5172.37,86.20616667,"+ 1' 34""","1","2",39.8
2012,20,3496,198,153,"Great Britain","Bradley Wiggins",5254.78,87.57966667,"+ 3' 21""","2","14",39.9
2013,21,3404,198,169,"Great Britain","Chris Froome",5036.33,83.93883333,"+ 4' 20""","3","14",40.6
2014,21,3661,198,164,"Italy","Vincenzo Nibali",5349.1,89.15166667,"+ 7' 37""","4","19",40.7
2015,21,3360,198,160,"Great Britain","Chris Froome",5086.23,84.7705,"+ 1' 12""","1","16",39.6
2016,21,3529,198,174,"Great Britain","Chris Froome",5344.8,89.08,"+ 4' 05""","2","14",39.6
2017,21,3540,198,167,"Great Britain","Chris Froome",5180.92,86.34866667,"+ 54""","0","15",41
2018,21,3349,176,145,"Great Britain","Geraint Thomas",4997.22,83.287,"+ 1' 51""","2","11",40.2
2019,21,3366,176,155,"Colombia","Egan Bernal",4977,82.95,"+ 1' 11""","0","2",40.6
2020,21,3484,176,146,"Slovenia","Tadej Pogaar",5240.22,87.337,"+ 59""","3",NA,39.9
2021,21,3414,184,141,"Slovenia","Tadej Pogaar",4976.6,82.94333333,"+ 5' 20""","3",NA,41.2
2022,21,3328,176,135,"Denmark","Jonas Vingegaard",4772.48,79.54133333,"+ 2' 43""","2",NA,41.8
